	icd9_code	short_title	long_title	icd_level2	level2_title	icd_level4	title
18	01193	Pulmon TB NOS-micro dx	Pulmonary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy	011	Infectious And Parasitic Diseases	0119	Pulmon TB NOS-micro dx Pulmonary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy
19	01194	Pulmon TB NOS-cult dx	Pulmonary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture	011	Infectious And Parasitic Diseases	0119	Pulmon TB NOS-cult dx Pulmonary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
20	01195	Pulmon TB NOS-histo dx	Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	011	Infectious And Parasitic Diseases	0119	Pulmon TB NOS-histo dx Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
21	01196	Pulmon TB NOS-oth test	Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]	011	Infectious And Parasitic Diseases	0119	Pulmon TB NOS-oth test Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
22	01200	TB pleurisy-unspec	Tuberculous pleurisy, unspecified	012	Infectious And Parasitic Diseases	0120	TB pleurisy-unspec Tuberculous pleurisy, unspecified
23	01201	TB pleurisy-no exam	Tuberculous pleurisy, bacteriological or histological examination not done	012	Infectious And Parasitic Diseases	0120	TB pleurisy-no exam Tuberculous pleurisy, bacteriological or histological examination not done
24	01202	TB pleurisy-exam unkn	Tuberculous pleurisy, bacteriological or histological examination unknown (at present)	012	Infectious And Parasitic Diseases	0120	TB pleurisy-exam unkn Tuberculous pleurisy, bacteriological or histological examination unknown (at present)
25	01203	TB pleurisy-micro dx	Tuberculous pleurisy, tubercle bacilli found (in sputum) by microscopy	012	Infectious And Parasitic Diseases	0120	TB pleurisy-micro dx Tuberculous pleurisy, tubercle bacilli found (in sputum) by microscopy
26	01204	TB pleurisy-cult dx	Tuberculous pleurisy, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture	012	Infectious And Parasitic Diseases	0120	TB pleurisy-cult dx Tuberculous pleurisy, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
27	01205	TB pleurisy-histolog dx	Tuberculous pleurisy, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	012	Infectious And Parasitic Diseases	0120	TB pleurisy-histolog dx Tuberculous pleurisy, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
28	01206	TB pleurisy-oth test	Tuberculous pleurisy, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]	012	Infectious And Parasitic Diseases	0120	TB pleurisy-oth test Tuberculous pleurisy, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
29	01210	TB thoracic nodes-unspec	Tuberculosis of intrathoracic lymph nodes, unspecified	012	Infectious And Parasitic Diseases	0121	TB thoracic nodes-unspec Tuberculosis of intrathoracic lymph nodes, unspecified
30	01211	TB thorax node-no exam	Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination not done	012	Infectious And Parasitic Diseases	0121	TB thorax node-no exam Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination not done
31	01212	TB thorax node-exam unkn	Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination unknown (at present)	012	Infectious And Parasitic Diseases	0121	TB thorax node-exam unkn Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination unknown (at present)
32	01213	TB thorax node-micro dx	Tuberculosis of intrathoracic lymph nodes, tubercle bacilli found (in sputum) by microscopy	012	Infectious And Parasitic Diseases	0121	TB thorax node-micro dx Tuberculosis of intrathoracic lymph nodes, tubercle bacilli found (in sputum) by microscopy
33	01214	TB thorax node-cult dx	Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture	012	Infectious And Parasitic Diseases	0121	TB thorax node-cult dx Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
34	01215	TB thorax node-histo dx	Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	012	Infectious And Parasitic Diseases	0121	TB thorax node-histo dx Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
35	01216	TB thorax node-oth test	Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]	012	Infectious And Parasitic Diseases	0121	TB thorax node-oth test Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
36	01220	Isol tracheal tb-unspec	Isolated tracheal or bronchial tuberculosis, unspecified	012	Infectious And Parasitic Diseases	0122	Isol tracheal tb-unspec Isolated tracheal or bronchial tuberculosis, unspecified
37	01221	Isol tracheal tb-no exam	Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination not done	012	Infectious And Parasitic Diseases	0122	Isol tracheal tb-no exam Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination not done
38	01222	Isol trach tb-exam unkn	Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination unknown (at present)	012	Infectious And Parasitic Diseases	0122	Isol trach tb-exam unkn Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination unknown (at present)
39	01223	Isolat trach tb-micro dx	Isolated tracheal or bronchial tuberculosis, tubercle bacilli found (in sputum) by microscopy	012	Infectious And Parasitic Diseases	0122	Isolat trach tb-micro dx Isolated tracheal or bronchial tuberculosis, tubercle bacilli found (in sputum) by microscopy
40	01224	Isol tracheal tb-cult dx	Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture	012	Infectious And Parasitic Diseases	0122	Isol tracheal tb-cult dx Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
41	01225	Isolat trach tb-histo dx	Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	012	Infectious And Parasitic Diseases	0122	Isolat trach tb-histo dx Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
42	01226	Isolat trach tb-oth test	Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]	012	Infectious And Parasitic Diseases	0122	Isolat trach tb-oth test Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
43	01230	TB laryngitis-unspec	Tuberculous laryngitis, unspecified	012	Infectious And Parasitic Diseases	0123	TB laryngitis-unspec Tuberculous laryngitis, unspecified
44	01231	TB laryngitis-no exam	Tuberculous laryngitis, bacteriological or histological examination not done	012	Infectious And Parasitic Diseases	0123	TB laryngitis-no exam Tuberculous laryngitis, bacteriological or histological examination not done
45	01232	TB laryngitis-exam unkn	Tuberculous laryngitis, bacteriological or histological examination unknown (at present)	012	Infectious And Parasitic Diseases	0123	TB laryngitis-exam unkn Tuberculous laryngitis, bacteriological or histological examination unknown (at present)
46	01233	TB laryngitis-micro dx	Tuberculous laryngitis, tubercle bacilli found (in sputum) by microscopy	012	Infectious And Parasitic Diseases	0123	TB laryngitis-micro dx Tuberculous laryngitis, tubercle bacilli found (in sputum) by microscopy
47	01234	TB laryngitis-cult dx	Tuberculous laryngitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture	012	Infectious And Parasitic Diseases	0123	TB laryngitis-cult dx Tuberculous laryngitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
48	01235	TB laryngitis-histo dx	Tuberculous laryngitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	012	Infectious And Parasitic Diseases	0123	TB laryngitis-histo dx Tuberculous laryngitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
49	01792	TB organ NEC-exam unkn	Tuberculosis of other specified organs, bacteriological or histological examination unknown (at present)	017	Infectious And Parasitic Diseases	0179	TB organ NEC-exam unkn Tuberculosis of other specified organs, bacteriological or histological examination unknown (at present)
50	01236	TB laryngitis-oth test	Tuberculous laryngitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]	012	Infectious And Parasitic Diseases	0123	TB laryngitis-oth test Tuberculous laryngitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
51	01280	Resp TB NEC-unspec	Other specified respiratory tuberculosis, unspecified	012	Infectious And Parasitic Diseases	0128	Resp TB NEC-unspec Other specified respiratory tuberculosis, unspecified
52	01281	Resp TB NEC-no exam	Other specified respiratory tuberculosis, bacteriological or histological examination not done	012	Infectious And Parasitic Diseases	0128	Resp TB NEC-no exam Other specified respiratory tuberculosis, bacteriological or histological examination not done
53	01282	Resp TB NEC-exam unkn	Other specified respiratory tuberculosis, bacteriological or histological examination unknown (at present)	012	Infectious And Parasitic Diseases	0128	Resp TB NEC-exam unkn Other specified respiratory tuberculosis, bacteriological or histological examination unknown (at present)
54	01283	Resp TB NEC-micro dx	Other specified respiratory tuberculosis, tubercle bacilli found (in sputum) by microscopy	012	Infectious And Parasitic Diseases	0128	Resp TB NEC-micro dx Other specified respiratory tuberculosis, tubercle bacilli found (in sputum) by microscopy
55	01284	Resp TB NEC-cult dx	Other specified respiratory tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture	012	Infectious And Parasitic Diseases	0128	Resp TB NEC-cult dx Other specified respiratory tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
56	01285	Resp TB NEC-histo dx	Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	012	Infectious And Parasitic Diseases	0128	Resp TB NEC-histo dx Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
57	01286	Resp TB NEC-oth test	Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]	012	Infectious And Parasitic Diseases	0128	Resp TB NEC-oth test Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
58	01300	TB meningitis-unspec	Tuberculous meningitis, unspecified	013	Infectious And Parasitic Diseases	0130	TB meningitis-unspec Tuberculous meningitis, unspecified
59	01301	TB meningitis-no exam	Tuberculous meningitis, bacteriological or histological examination not done	013	Infectious And Parasitic Diseases	0130	TB meningitis-no exam Tuberculous meningitis, bacteriological or histological examination not done
60	0010	Cholera d/t vib cholerae	Cholera due to vibrio cholerae	001	Infectious And Parasitic Diseases	0010	Cholera d/t vib cholerae Cholera due to vibrio cholerae
61	0011	Cholera d/t vib el tor	Cholera due to vibrio cholerae el tor	001	Infectious And Parasitic Diseases	0011	Cholera d/t vib el tor Cholera due to vibrio cholerae el tor
62	0019	Cholera NOS	Cholera, unspecified	001	Infectious And Parasitic Diseases	0019	Cholera NOS Cholera, unspecified
63	0020	Typhoid fever	Typhoid fever	002	Infectious And Parasitic Diseases	0020	Typhoid fever Typhoid fever
64	0021	Paratyphoid fever a	Paratyphoid fever A	002	Infectious And Parasitic Diseases	0021	Paratyphoid fever a Paratyphoid fever A
65	0022	Paratyphoid fever b	Paratyphoid fever B	002	Infectious And Parasitic Diseases	0022	Paratyphoid fever b Paratyphoid fever B
66	0023	Paratyphoid fever c	Paratyphoid fever C	002	Infectious And Parasitic Diseases	0023	Paratyphoid fever c Paratyphoid fever C
67	0029	Paratyphoid fever NOS	Paratyphoid fever, unspecified	002	Infectious And Parasitic Diseases	0029	Paratyphoid fever NOS Paratyphoid fever, unspecified
68	0030	Salmonella enteritis	Salmonella gastroenteritis	003	Infectious And Parasitic Diseases	0030	Salmonella enteritis Salmonella gastroenteritis
69	0031	Salmonella septicemia	Salmonella septicemia	003	Infectious And Parasitic Diseases	0031	Salmonella septicemia Salmonella septicemia
70	00320	Local salmonella inf NOS	Localized salmonella infection, unspecified	003	Infectious And Parasitic Diseases	0032	Local salmonella inf NOS Localized salmonella infection, unspecified
71	00321	Salmonella meningitis	Salmonella meningitis	003	Infectious And Parasitic Diseases	0032	Salmonella meningitis Salmonella meningitis
72	00322	Salmonella pneumonia	Salmonella pneumonia	003	Infectious And Parasitic Diseases	0032	Salmonella pneumonia Salmonella pneumonia
73	00323	Salmonella arthritis	Salmonella arthritis	003	Infectious And Parasitic Diseases	0032	Salmonella arthritis Salmonella arthritis
74	00324	Salmonella osteomyelitis	Salmonella osteomyelitis	003	Infectious And Parasitic Diseases	0032	Salmonella osteomyelitis Salmonella osteomyelitis
75	00329	Local salmonella inf NEC	Other localized salmonella infections	003	Infectious And Parasitic Diseases	0032	Local salmonella inf NEC Other localized salmonella infections
76	0038	Salmonella infection NEC	Other specified salmonella infections	003	Infectious And Parasitic Diseases	0038	Salmonella infection NEC Other specified salmonella infections
77	0039	Salmonella infection NOS	Salmonella infection, unspecified	003	Infectious And Parasitic Diseases	0039	Salmonella infection NOS Salmonella infection, unspecified
78	0040	Shigella dysenteriae	Shigella dysenteriae	004	Infectious And Parasitic Diseases	0040	Shigella dysenteriae Shigella dysenteriae
79	0041	Shigella flexneri	Shigella flexneri	004	Infectious And Parasitic Diseases	0041	Shigella flexneri Shigella flexneri
80	0042	Shigella boydii	Shigella boydii	004	Infectious And Parasitic Diseases	0042	Shigella boydii Shigella boydii
81	0043	Shigella sonnei	Shigella sonnei	004	Infectious And Parasitic Diseases	0043	Shigella sonnei Shigella sonnei
82	0048	Shigella infection NEC	Other specified shigella infections	004	Infectious And Parasitic Diseases	0048	Shigella infection NEC Other specified shigella infections
83	0049	Shigellosis NOS	Shigellosis, unspecified	004	Infectious And Parasitic Diseases	0049	Shigellosis NOS Shigellosis, unspecified
84	0050	Staph food poisoning	Staphylococcal food poisoning	005	Infectious And Parasitic Diseases	0050	Staph food poisoning Staphylococcal food poisoning
85	0051	Botulism food poisoning	Botulism food poisoning	005	Infectious And Parasitic Diseases	0051	Botulism food poisoning Botulism food poisoning
86	0052	Food pois d/t c. perfrin	Food poisoning due to Clostridium perfringens (C. welchii)	005	Infectious And Parasitic Diseases	0052	Food pois d/t c. perfrin Food poisoning due to Clostridium perfringens (C. welchii)
87	0053	Food pois: clostrid NEC	Food poisoning due to other Clostridia	005	Infectious And Parasitic Diseases	0053	Food pois: clostrid NEC Food poisoning due to other Clostridia
88	0054	Food pois: v. parahaem	Food poisoning due to Vibrio parahaemolyticus	005	Infectious And Parasitic Diseases	0054	Food pois: v. parahaem Food poisoning due to Vibrio parahaemolyticus
89	00581	Food poisn d/t v. vulnif	Food poisoning due to Vibrio vulnificus	005	Infectious And Parasitic Diseases	0058	Food poisn d/t v. vulnif Food poisoning due to Vibrio vulnificus
90	00589	Bact food poisoning NEC	Other bacterial food poisoning	005	Infectious And Parasitic Diseases	0058	Bact food poisoning NEC Other bacterial food poisoning
91	0059	Food poisoning NOS	Food poisoning, unspecified	005	Infectious And Parasitic Diseases	0059	Food poisoning NOS Food poisoning, unspecified
92	0060	Ac amebiasis w/o abscess	Acute amebic dysentery without mention of abscess	006	Infectious And Parasitic Diseases	0060	Ac amebiasis w/o abscess Acute amebic dysentery without mention of abscess
93	0061	Chr amebiasis w/o absces	Chronic intestinal amebiasis without mention of abscess	006	Infectious And Parasitic Diseases	0061	Chr amebiasis w/o absces Chronic intestinal amebiasis without mention of abscess
94	0062	Amebic nondysent colitis	Amebic nondysenteric colitis	006	Infectious And Parasitic Diseases	0062	Amebic nondysent colitis Amebic nondysenteric colitis
95	01676	TB fem gen NEC-oth test	Tuberculosis of other female genital organs, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]	016	Infectious And Parasitic Diseases	0167	TB fem gen NEC-oth test Tuberculosis of other female genital organs, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
96	01690	Gu TB NOS-unspec	Genitourinary tuberculosis, unspecified, unspecified	016	Infectious And Parasitic Diseases	0169	Gu TB NOS-unspec Genitourinary tuberculosis, unspecified, unspecified
97	01691	Gu TB NOS-no exam	Genitourinary tuberculosis, unspecified, bacteriological or histological examination not done	016	Infectious And Parasitic Diseases	0169	Gu TB NOS-no exam Genitourinary tuberculosis, unspecified, bacteriological or histological examination not done
98	01692	Gu TB NOS-exam unkn	Genitourinary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)	016	Infectious And Parasitic Diseases	0169	Gu TB NOS-exam unkn Genitourinary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)
99	01693	Gu TB NOS-micro dx	Genitourinary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy	016	Infectious And Parasitic Diseases	0169	Gu TB NOS-micro dx Genitourinary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy
100	01694	Gu TB NOS-cult dx	Genitourinary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture	016	Infectious And Parasitic Diseases	0169	Gu TB NOS-cult dx Genitourinary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
101	01695	Gu TB NOS-histo dx	Genitourinary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	016	Infectious And Parasitic Diseases	0169	Gu TB NOS-histo dx Genitourinary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
102	01696	Gu TB NOS-oth test	Genitourinary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]	016	Infectious And Parasitic Diseases	0169	Gu TB NOS-oth test Genitourinary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
103	01700	TB skin/subcutan-unspec	Tuberculosis of skin and subcutaneous cellular tissue, unspecified	017	Infectious And Parasitic Diseases	0170	TB skin/subcutan-unspec Tuberculosis of skin and subcutaneous cellular tissue, unspecified
104	01701	TB skin/subcut-no exam	Tuberculosis of skin and subcutaneous cellular tissue, bacteriological or histological examination not done	017	Infectious And Parasitic Diseases	0170	TB skin/subcut-no exam Tuberculosis of skin and subcutaneous cellular tissue, bacteriological or histological examination not done
105	01702	TB skin/subcut-exam unkn	Tuberculosis of skin and subcutaneous cellular tissue, bacteriological or histological examination unknown (at present)	017	Infectious And Parasitic Diseases	0170	TB skin/subcut-exam unkn Tuberculosis of skin and subcutaneous cellular tissue, bacteriological or histological examination unknown (at present)
106	01703	TB skin/subcut-micro dx	Tuberculosis of skin and subcutaneous cellular tissue, tubercle bacilli found (in sputum) by microscopy	017	Infectious And Parasitic Diseases	0170	TB skin/subcut-micro dx Tuberculosis of skin and subcutaneous cellular tissue, tubercle bacilli found (in sputum) by microscopy
107	01704	TB skin/subcut-cult dx	Tuberculosis of skin and subcutaneous cellular tissue, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture	017	Infectious And Parasitic Diseases	0170	TB skin/subcut-cult dx Tuberculosis of skin and subcutaneous cellular tissue, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
108	01705	TB skin/subcut-histo dx	Tuberculosis of skin and subcutaneous cellular tissue, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	017	Infectious And Parasitic Diseases	0170	TB skin/subcut-histo dx Tuberculosis of skin and subcutaneous cellular tissue, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
109	01706	TB skin/subcut-oth test	Tuberculosis of skin and subcutaneous cellular tissue, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]	017	Infectious And Parasitic Diseases	0170	TB skin/subcut-oth test Tuberculosis of skin and subcutaneous cellular tissue, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
110	01710	Erythema nodos tb-unspec	Erythema nodosum with hypersensitivity reaction in tuberculosis, unspecified	017	Infectious And Parasitic Diseases	0171	Erythema nodos tb-unspec Erythema nodosum with hypersensitivity reaction in tuberculosis, unspecified
111	01711	Erythem nodos tb-no exam	Erythema nodosum with hypersensitivity reaction in tuberculosis, bacteriological or histological examination not done	017	Infectious And Parasitic Diseases	0171	Erythem nodos tb-no exam Erythema nodosum with hypersensitivity reaction in tuberculosis, bacteriological or histological examination not done
112	01712	Erythem nod tb-exam unkn	Erythema nodosum with hypersensitivity reaction in tuberculosis, bacteriological or histological examination unknown (at present)	017	Infectious And Parasitic Diseases	0171	Erythem nod tb-exam unkn Erythema nodosum with hypersensitivity reaction in tuberculosis, bacteriological or histological examination unknown (at present)
113	01713	Erythem nod tb-micro dx	Erythema nodosum with hypersensitivity reaction in tuberculosis, tubercle bacilli found (in sputum) by microscopy	017	Infectious And Parasitic Diseases	0171	Erythem nod tb-micro dx Erythema nodosum with hypersensitivity reaction in tuberculosis, tubercle bacilli found (in sputum) by microscopy
114	01714	Erythem nodos tb-cult dx	Erythema nodosum with hypersensitivity reaction in tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture	017	Infectious And Parasitic Diseases	0171	Erythem nodos tb-cult dx Erythema nodosum with hypersensitivity reaction in tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
115	01715	Erythem nod tb-histo dx	Erythema nodosum with hypersensitivity reaction in tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	017	Infectious And Parasitic Diseases	0171	Erythem nod tb-histo dx Erythema nodosum with hypersensitivity reaction in tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
116	01716	Erythem nod tb-oth test	Erythema nodosum with hypersensitivity reaction in tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]	017	Infectious And Parasitic Diseases	0171	Erythem nod tb-oth test Erythema nodosum with hypersensitivity reaction in tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
117	01720	TB periph lymph-unspec	Tuberculosis of peripheral lymph nodes, unspecified	017	Infectious And Parasitic Diseases	0172	TB periph lymph-unspec Tuberculosis of peripheral lymph nodes, unspecified
118	01721	TB periph lymph-no exam	Tuberculosis of peripheral lymph nodes, bacteriological or histological examination not done	017	Infectious And Parasitic Diseases	0172	TB periph lymph-no exam Tuberculosis of peripheral lymph nodes, bacteriological or histological examination not done
