	icd9_code	short_title	long_title	count
193	7746	Fetal/neonatal jaund NOS	Unspecified fetal and neonatal jaundice	659
194	430	Subarachnoid hemorrhage	Subarachnoid hemorrhage	658
195	V090	Inf mcrg rstn pncllins	Infection with microorganisms resistant to penicillins	658
196	7140	Rheumatoid arthritis	Rheumatoid arthritis	649
197	1120	Thrush	Candidiasis of mouth	646
198	V1581	Hx of past noncompliance	Personal history of noncompliance with medical treatment, presenting hazards to health	643
199	34982	Toxic encephalopathy	Toxic encephalopathy	643
200	43411	Crbl emblsm w infrct	Cerebral embolism with cerebral infarction	642
201	4928	Emphysema NEC	Other emphysema	641
202	04104	Enterococcus group d	Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group D [Enterococcus]	614
203	29410	Dementia w/o behav dist	Dementia in conditions classified elsewhere without behavioral disturbance	613
204	7850	Tachycardia NOS	Tachycardia, unspecified	607
205	4538			607
206	77981	Neonatal bradycardia	Neonatal bradycardia	606
207	29680	Bipolar disorder NOS	Bipolar disorder, unspecified	603
208	30390	Alcoh dep NEC/NOS-unspec	Other and unspecified alcohol dependence, unspecified	597
209	58381	Nephritis NOS in oth dis	Nephritis and nephropathy, not specified as acute or chronic, in diseases classified elsewhere	594
210	V4511	Renal dialysis status	Renal dialysis status	594
211	2874			584
212	77089	Resp prob after brth NEC	Other respiratory problems after birth	583
213	78057	Sleep apnea NOS	Unspecified sleep apnea	581
214	V440	Tracheostomy status	Tracheostomy status	580
215	78009	Other alter consciousnes	Other alteration of consciousness	577
216	99674	Comp-oth vasc dev/graft	Other complications due to other vascular device, implant, and graft	576
217	3314	Obstructiv hydrocephalus	Obstructive hydrocephalus	576
218	2766			575
219	41041	AMI inferior wall, init	Acute myocardial infarction of other inferior wall, initial episode of care	573
220	3310	Alzheimer's disease	Alzheimer's disease	570
221	42741	Ventricular fibrillation	Ventricular fibrillation	568
222	99731	Ventltr assoc pneumonia	Ventilator associated pneumonia	564
223	E9331	Adv eff antineoplastic	Antineoplastic and immunosuppressive drugs causing adverse effects in therapeutic use	559
224	E9320	Adv eff corticosteroids	Adrenal cortical steroids causing adverse effects in therapeutic use	547
225	E8809	Fall on stair/step NEC	Accidental fall on or from other stairs or steps	545
226	41011	AMI anterior wall, init	Acute myocardial infarction of other anterior wall, initial episode of care	544
227	515	Postinflam pulm fibrosis	Postinflammatory pulmonary fibrosis	544
228	6930	Drug dermatitis NOS	Dermatitis due to drugs and medicines taken internally	543
229	042	Human immuno virus dis	Human immunodeficiency virus [HIV] disease	538
230	2764	Mixed acid-base bal dis	Mixed acid-base balance disorder	536
231	78559	Shock w/o trauma NEC	Other shock without mention of trauma	535
232	7895			534
233	51919	Trachea & bronch dis NEC	Other diseases of trachea and bronchus	534
234	V707	Exam-clincal trial	Examination of participant in clinical trial	530
235	4260	Atriovent block complete	Atrioventricular block, complete	530
236	34690	Migrne unsp wo ntrc mgrn	Migraine, unspecified, without mention of intractable migraine without mention of status migrainosus	528
237	V441	Gastrostomy status	Gastrostomy status	522
238	V1011	Hx-bronchogenic malignan	Personal history of malignant neoplasm of bronchus and lung	519
239	99681	Compl kidney transplant	Complications of transplanted kidney	515
240	03811	Meth susc Staph aur sept	Methicillin susceptible Staphylococcus aureus septicemia	515
241	5997			509
242	5363	Gastroparesis	Gastroparesis	509
243	V1083	Hx-skin malignancy NEC	Personal history of other malignant neoplasm of skin	506
244	3320	Paralysis agitans	Paralysis agitans	506
245	2536	Neurohypophysis dis NEC	Other disorders of neurohypophysis	505
246	45981	Venous insufficiency NOS	Venous (peripheral) insufficiency, unspecified	503
247	78720	Dysphagia NOS	Dysphagia, unspecified	499
248	5570	Ac vasc insuff intestine	Acute vascular insufficiency of intestine	497
249	V4589	Post-proc states NEC	Other postprocedural status	496
250	42821	Ac systolic hrt failure	Acute systolic heart failure	492
251	4412	Thoracic aortic aneurysm	Thoracic aneurysm without mention of rupture	490
252	7843	Aphasia	Aphasia	488
253	76526	31-32 comp wks gestation	31-32 completed weeks of gestation	487
254	7242	Lumbago	Lumbago	487
255	34290	Unsp hemiplga unspf side	Hemiplegia, unspecified, affecting unspecified side	478
256	V422	Heart valve transplant	Heart valve replaced by transplant	476
257	76517	Preterm NEC 1750-1999g	Other preterm infants, 1,750-1,999 grams	474
258	41402	Crn ath atlg vn bps grft	Coronary atherosclerosis of autologous vein bypass graft	474
259	0413	Klebsiella pneumoniae	Friedl?nder's bacillus infection in conditions classified elsewhere and of unspecified site	473
260	99672	Comp-oth cardiac device	Other complications due to other cardiac device, implant, and graft	473
261	2841			472
262	03842	E coli septicemia	Septicemia due to escherichia coli [E. coli]	467
263	2867	Acq coagul factor defic	Acquired coagulation factor deficiency	466
264	43889	Late effect CV dis NEC	Other late effects of cerebrovascular disease	465
265	E8790	Abn react-cardiac cath	Cardiac catheterization as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure	463
266	V462	Depend-supplement oxygen	Other dependence on machines, supplemental oxygen	459
267	77989	Perinatal condition NEC	Other specified conditions originating in the perinatal period	458
268	2753	Dis phosphorus metabol	Disorders of phosphorus metabolism	458
269	4011	Benign hypertension	Benign essential hypertension	454
270	25002	DMII wo cmp uncntrld	Diabetes mellitus without mention of complication, type II or unspecified type, uncontrolled	454
271	V293	NB obs genetc/metabl cnd	Observation for suspected genetic or metabolic condition	453
272	3481	Anoxic brain damage	Anoxic brain damage	453
273	2866	Defibrination syndrome	Defibrination syndrome	452
274	9975	Surg compl-urinary tract	Urinary complications, not elsewhere classified	449
275	25080	DMII oth nt st uncntrld	Diabetes with other specified manifestations, type II or unspecified type, not stated as uncontrolled	447
276	25050	DMII ophth nt st uncntrl	Diabetes with ophthalmic manifestations, type II or unspecified type, not stated as uncontrolled	445
277	4239	Pericardial disease NOS	Unspecified disease of pericardium	445
278	53550	Gstr/ddnts NOS w/o hmrhg	Unspecified gastritis and gastroduodenitis, without mention of hemorrhage	440
279	V1082	Hx-malig skin melanoma	Personal history of malignant melanoma of skin	439
280	43820	Late ef-hemplga side NOS	Late effects of cerebrovascular disease, hemiplegia affecting unspecified side	437
281	70715	Ulcer other part of foot	Ulcer of other part of foot	437
282	19889	Secondary malig neo NEC	Secondary malignant neoplasm of other specified sites	437
283	39891	Rheumatic heart failure	Rheumatic heart failure (congestive)	437
284	44020	Athscl extrm ntv art NOS	Atherosclerosis of native arteries of the extremities, unspecified	435
285	70722	Pressure ulcer, stage II	Pressure ulcer, stage II	435
286	V1052	Hx of kidney malignancy	Personal history of malignant neoplasm of kidney	434
287	7904	Elev transaminase/ldh	Nonspecific elevation of levels of transaminase or lactic acid dehydrogenase [LDH]	434
288	3569	Idio periph neurpthy NOS	Unspecified hereditary and idiopathic peripheral neuropathy	433
289	7802	Syncope and collapse	Syncope and collapse	433
290	42831	Ac diastolic hrt failure	Acute diastolic heart failure	432
291	5771	Chronic pancreatitis	Chronic pancreatitis	431
292	4821	Pseudomonal pneumonia	Pneumonia due to Pseudomonas	430
293	E8780	Abn react-org transplant	Surgical operation with transplant of whole organ causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation	430
294	5780	Hematemesis	Hematemesis	428
295	7806			426
296	25061	DMI neuro nt st uncntrld	Diabetes with neurological manifestations, type I [juvenile type], not stated as uncontrolled	425
297	25013	DMI ketoacd uncontrold	Diabetes with ketoacidosis, type I [juvenile type], uncontrolled	421
298	45621	Esoph varice oth dis NOS	Esophageal varices in diseases classified elsewhere, without mention of bleeding	418
299	73390	Bone & cartilage dis NOS	Disorder of bone and cartilage, unspecified	418
300	99702	Iatrogen CV infarc/hmrhg	Iatrogenic cerebrovascular infarction or hemorrhage	418
301	42820	Systolic hrt failure NOS	Systolic heart failure, unspecified	416
302	591	Hydronephrosis	Hydronephrosis	413
303	4373	Nonrupt cerebral aneurym	Cerebral aneurysm, nonruptured	413
304	7661	Heavy-for-date infan NEC	"Other ""heavy-for-dates"" infants"	410
305	V8741	Hx antineoplastic chemo	Personal history of antineoplastic chemotherapy	410
306	7766	Anemia of prematurity	Anemia of prematurity	407
307	86121	Lung contusion-closed	Contusion of lung without mention of open wound into thorax	405
308	7470	Patent ductus arteriosus	Patent ductus arteriosus	405
309	30560	Cocaine abuse-unspec	Cocaine abuse, unspecified	404
310	0417	Pseudomonas infect NOS	Pseudomonas infection in conditions classified elsewhere and of unspecified site	404
311	5680	Peritoneal adhesions	Peritoneal adhesions (postoperative) (postinfection)	404
312	7863			401
313	4160	Prim pulm hypertension	Primary pulmonary hypertension	401
314	30501	Alcohol abuse-continuous	Alcohol abuse, continuous	400
315	03849	Gram-neg septicemia NEC	Other septicemia due to gram-negative organisms	395
316	6822	Cellulitis of trunk	Cellulitis and abscess of trunk	394
317	4321	Subdural hemorrhage	Subdural hemorrhage	392
318	1628	Mal neo bronch/lung NEC	Malignant neoplasm of other parts of bronchus or lung	391
319	9973			390
320	72888	Rhabdomyolysis	Rhabdomyolysis	390
321	42781	Sinoatrial node dysfunct	Sinoatrial node dysfunction	389
322	3962	Mitral insuf/aort stenos	Mitral valve insufficiency and aortic valve stenosis	386
323	70714	Ulcer of heel & midfoot	Ulcer of heel and midfoot	385
324	4210	Ac/subac bact endocard	Acute and subacute bacterial endocarditis	385
325	85221	Subdural hem w/o coma	Subdural hemorrhage following injury without mention of open intracranial wound, with no loss of consciousness	381
326	27541	Hypocalcemia	Hypocalcemia	380
327	V1588	Personal history of fall	History of fall	377
328	0380	Streptococcal septicemia	Streptococcal septicemia	376
329	30301	Ac alcohol intox-contin	Acute alcoholic intoxication in alcoholism, continuous	376
330	8600	Traum pneumothorax-close	Traumatic pneumothorax without mention of open wound into thorax	375
331	V721			374
332	E8498	Accident in place NEC	Accidents occurring in other specified places	372
333	E8490	Accident in home	Home accidents	370
334	8730	Open wound of scalp	Open wound of scalp, without mention of complication	365
335	29281	Drug-induced delirium	Drug-induced delirium	363
336	5762	Obstruction of bile duct	Obstruction of bile duct	360
337	7291	Myalgia and myositis NOS	Myalgia and myositis, unspecified	359
338	7756	Neonatal hypoglycemia	Neonatal hypoglycemia	358
339	28522	Anemia in neoplastic dis	Anemia in neoplastic disease	357
340	7245	Backache NOS	Backache, unspecified	357
341	76516	Preterm NEC 1500-1749g	Other preterm infants, 1,500-1,749 grams	357
342	27669	Fluid overload NEC	Other fluid overload	357
343	41091	AMI NOS, initial	Acute myocardial infarction of unspecified site, initial episode of care	354
344	45620	Bleed esoph var oth dis	Esophageal varices in diseases classified elsewhere, with bleeding	352
345	5724	Hepatorenal syndrome	Hepatorenal syndrome	346
346	57420	Cholelithiasis NOS	Calculus of gallbladder without mention of cholecystitis, without mention of obstruction	346
347	V1051	Hx of bladder malignancy	Personal history of malignant neoplasm of bladder	341
348	3963	Mitral/aortic val insuff	Mitral valve insufficiency and aortic valve insufficiency	341
349	20280	Oth lymp unsp xtrndl org	Other malignant lymphomas, unspecified site, extranodal and solid organ sites	339
350	53789	Gastroduodenal dis NEC	Other specified disorders of stomach and duodenum	337
351	1550	Mal neo liver, primary	Malignant neoplasm of liver, primary	337
352	1122	Candidias urogenital NEC	Candidiasis of other urogenital sites	337
353	79029	Abnormal glucose NEC	Other abnormal glucose	337
354	V420	Kidney transplant status	Kidney replaced by transplant	337
355	1623	Mal neo upper lobe lung	Malignant neoplasm of upper lobe, bronchus or lung	335
356	56212	Dvrtclo colon w hmrhg	Diverticulosis of colon with hemorrhage	335
357	5854	Chr kidney dis stage IV	Chronic kidney disease, Stage IV (severe)	334
358	56409	Constipation NEC	Other constipation	333
359	27650	Volume depletion NOS	Volume depletion, unspecified	332
360	V08	Asymp hiv infectn status	Asymptomatic human immunodeficiency virus [HIV] infection status	332
361	51883	Chronic respiratory fail	Chronic respiratory failure	331
362	45341	Ac DVT/emb prox low ext	Acute venous embolism and thrombosis of deep vessels of proximal lower extremity	331
363	7100	Syst lupus erythematosus	Systemic lupus erythematosus	328
364	44024	Ath ext ntv art gngrene	Atherosclerosis of native arteries of the extremities with gangrene	327
365	42843	Ac/chr syst/dia hrt fail	Acute on chronic combined systolic and diastolic heart failure	327
366	E9478	Adv eff medicinal NEC	Other drugs and medicinal substances causing adverse effects in therapeutic use	327
367	2848			321
368	2113	Benign neoplasm lg bowel	Benign neoplasm of colon	321
369	25041	DMI renl nt st uncntrld	Diabetes with renal manifestations, type I [juvenile type], not stated as uncontrolled	321
370	25001	DMI wo cmp nt st uncntrl	Diabetes mellitus without mention of complication, type I [juvenile type], not stated as uncontrolled	319
371	1976	Sec mal neo peritoneum	Secondary malignant neoplasm of retroperitoneum and peritoneum	317
372	7464	Cong aorta valv insuffic	Congenital insufficiency of aortic valve	314
373	60001	BPH w urinary obs/LUTS	Hypertrophy (benign) of prostate with urinary obstruction and other lower urinary tract symptoms (LUTS)	314
374	8054	Fx lumbar vertebra-close	Closed fracture of lumbar vertebra without mention of spinal cord injury	310
375	70705	Pressure ulcer, buttock	Pressure ulcer, buttock	310
376	5711	Ac alcoholic hepatitis	Acute alcoholic hepatitis	310
377	30393	Alcoh dep NEC/NOS-remiss	Other and unspecified alcohol dependence, in remission	308
378	340	Multiple sclerosis	Multiple sclerosis	307
379	V1259	Hx-circulatory dis NEC	Personal history of other diseases of circulatory system	307
380	8052	Fx dorsal vertebra-close	Closed fracture of dorsal [thoracic] vertebra without mention of spinal cord injury	305
381	78052	Insomnia NOS	Insomnia, unspecified	305
382	5184	Acute lung edema NOS	Acute edema of lung, unspecified	305
383	E8786	Abn reac-organ rem NEC	Removal of other organ (partial) (total) causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation	304
384	53085	Barrett's esophagus	Barrett's esophagus	303
385	7847	Epistaxis	Epistaxis	303
386	2910	Delirium tremens	Alcohol withdrawal delirium	303
387	73313	Path fx vertebrae	Pathologic fracture of vertebrae	302
388	185	Malign neopl prostate	Malignant neoplasm of prostate	302
389	04185	Oth gram negatv bacteria	Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other gram-negative organisms	300
390	49322	Ch obst asth w (ac) exac	Chronic obstructive asthma with (acute) exacerbation	299
391	76515	Preterm NEC 1250-1499g	Other preterm infants, 1,250-1,499 grams	299
392	79001	Drop, hematocrit, precip	Precipitous drop in hematocrit	299
393	78830	Urinary incontinence NOS	Urinary incontinence, unspecified	296
394	70707	Pressure ulcer, heel	Pressure ulcer, heel	295
